"Date","Price","Open","High","Low","Change %"
"Feb 15, 2019","71.330","71.028","71.464","71.028","0.44%"
"Feb 14, 2019","71.020","70.869","71.233","70.800","0.20%"
"Feb 13, 2019","70.875","70.541","70.880","70.397","0.48%"
"Feb 12, 2019","70.535","71.254","71.254","70.515","-0.85%"
"Feb 11, 2019","71.140","71.240","71.301","71.038","-0.05%"
"Feb 08, 2019","71.175","71.395","71.434","71.015","-0.18%"
"Feb 07, 2019","71.300","71.639","71.769","71.271","-0.35%"
"Feb 06, 2019","71.550","71.520","71.683","71.492","0.03%"
"Feb 05, 2019","71.530","71.714","71.812","71.528","-0.25%"
"Feb 04, 2019","71.710","71.469","71.845","71.462","0.38%"
"Feb 01, 2019","71.435","71.115","71.485","70.952","0.67%"
"Jan 31, 2019","70.960","70.959","71.215","70.865","-0.39%"
"Jan 30, 2019","71.235","71.423","71.423","71.123","-0.22%"
"Jan 29, 2019","71.390","71.085","71.461","71.026","0.45%"
"Jan 28, 2019","71.070","70.920","71.196","70.915","0.24%"
"Jan 25, 2019","70.900","71.040","71.250","70.890","-0.14%"
"Jan 24, 2019","71.000","71.147","71.315","70.955","-0.27%"
"Jan 23, 2019","71.190","71.240","71.370","71.115","-0.10%"
"Jan 22, 2019","71.260","71.197","71.466","71.165","0.10%"
"Jan 21, 2019","71.188","71.205","71.538","71.140","-0.03%"
"Jan 18, 2019","71.210","71.040","71.274","70.987","0.23%"
"Jan 17, 2019","71.050","71.146","71.416","70.972","0.10%"
"Jan 16, 2019","70.980","71.110","71.265","70.934","-0.17%"
"Jan 15, 2019","71.100","70.750","71.156","70.723","0.48%"
"Jan 14, 2019","70.760","70.400","70.950","70.360","0.51%"
"Jan 11, 2019","70.399","70.430","70.601","70.357","-0.03%"
"Jan 10, 2019","70.420","70.530","70.655","70.318","-0.20%"
"Jan 09, 2019","70.560","70.110","70.648","70.050","0.60%"
"Jan 08, 2019","70.140","69.806","70.240","69.765","0.48%"
"Jan 07, 2019","69.803","69.532","69.953","69.255","0.36%"
"Jan 04, 2019","69.550","70.115","70.145","69.550","-0.80%"
"Jan 03, 2019","70.110","70.300","70.531","70.034","0.16%"
"Jan 02, 2019","70.000","69.469","70.255","69.469","0.79%"
"Jan 01, 2019","69.453","69.635","69.745","69.435","-0.17%"
"Dec 31, 2018","69.570","69.783","69.946","69.570","-0.52%"
"Dec 28, 2018","69.933","70.151","70.151","69.885","-0.61%"
"Dec 27, 2018","70.361","70.088","70.404","70.088","0.42%"
"Dec 26, 2018","70.070","70.065","70.170","69.755","0.03%"
"Dec 25, 2018","70.050","70.050","70.050","70.050","-0.08%"
"Dec 24, 2018","70.105","70.151","70.296","69.873","-0.05%"
"Dec 21, 2018","70.140","70.003","70.320","69.750","0.23%"
"Dec 20, 2018","69.980","70.697","70.716","69.655","-0.43%"
"Dec 19, 2018","70.279","70.357","70.482","69.862","-0.48%"
"Dec 18, 2018","70.620","71.340","71.361","70.421","-1.38%"
